DOMInventory,,,,,,,,,,
PartNumber,OnlineStoreIdentifier,PhysicalStoreIdentifier,InventoryStatus,AvailableQuantity,AvailableQuantityUOM,AvailabilityTime,AvailabilityOffset,LastUpdate,ContextStoreIdentifier,Delete
AuroraWMDRS-500,,,AVL,1100,C62,,,,,
AuroraWMDRS-501,,,AVL,2300,C62,,,,,
AuroraWMDRS-502,,,AVL,1100,C62,,,,,
AuroraWMDRS-503,,,AVL,2200,C62,,,,,
AuroraWMDRS-504,,,AVL,3000,C62,,,,,
AuroraWMDRS-505,,,AVL,1400,C62,,,,,
AuroraWMDRS-506,,,AVL,2000,C62,,,,,
AuroraWMDRS-507,,,AVL,1200,C62,,,,,
AuroraWMDRS-508,,,AVL,1900,C62,,,,,
AuroraWMDRS-509,,,AVL,1800,C62,,,,,
AuroraWMDRS-510,,,AVL,1000,C62,,,,,
AuroraWMDRS-511,,,AVL,2400,C62,,,,,
AuroraWMDRS-512,,,AVL,1900,C62,,,,,
AuroraWMDRS-513,,,AVL,1500,C62,,,,,
AuroraWMDRS-514,,,AVL,2500,C62,,,,,
AuroraWMDRS-515,,,AVL,3000,C62,,,,,
AuroraWMDRS-516,,,AVL,2100,C62,,,,,
AuroraWMDRS-517,,,AVL,3000,C62,,,,,
AuroraWMDRS-518,,,AVL,2300,C62,,,,,
AuroraWMDRS-519,,,AVL,1500,C62,,,,,
AuroraWMDRS-520,,,AVL,2000,C62,,,,,
AuroraWMDRS-521,,,AVL,2700,C62,,,,,
AuroraWMDRS-522,,,AVL,1900,C62,,,,,
AuroraWMDRS-523,,,AVL,1400,C62,,,,,
AuroraWMDRS-524,,,AVL,2800,C62,,,,,
AuroraWMDRS-525,,,AVL,1000,C62,,,,,
AuroraWMDRS-526,,,AVL,2300,C62,,,,,
AuroraWMDRS-527,,,AVL,2400,C62,,,,,
AuroraWMDRS-528,,,AVL,1700,C62,,,,,
AuroraWMDRS-529,,,AVL,1700,C62,,,,,
AuroraWMDRS-530,,,AVL,1700,C62,,,,,
AuroraWMDRS-531,,,AVL,2100,C62,,,,,
AuroraWMDRS-532,,,AVL,1500,C62,,,,,
AuroraWMDRS-533,,,AVL,3000,C62,,,,,
AuroraWMDRS-534,,,AVL,2600,C62,,,,,
AuroraWMDRS-535,,,AVL,2900,C62,,,,,
AuroraWMDRS-536,,,AVL,2600,C62,,,,,
AuroraWMDRS-537,,,AVL,2000,C62,,,,,
AuroraWMDRS-538,,,AVL,1300,C62,,,,,
AuroraWMDRS-539,,,AVL,1200,C62,,,,,
AuroraWMDRS-540,,,AVL,1600,C62,,,,,
AuroraWMDRS-541,,,AVL,2100,C62,,,,,
AuroraWMDRS-542,,,AVL,1700,C62,,,,,
AuroraWMDRS-543,,,AVL,2400,C62,,,,,
AuroraWMDRS-544,,,AVL,1300,C62,,,,,
AuroraWMDRS-545,,,AVL,1600,C62,,,,,
AuroraWMDRS-546,,,AVL,2900,C62,,,,,
AuroraWMDRS-547,,,AVL,1100,C62,,,,,
AuroraWMDRS-548,,,AVL,2200,C62,,,,,
AuroraWMDRS-549,,,AVL,2600,C62,,,,,
AuroraWMDRS-550,,,AVL,2800,C62,,,,,
AuroraWMDRS-551,,,AVL,2800,C62,,,,,
AuroraWMDRS-552,,,AVL,2800,C62,,,,,
AuroraWMDRS-553,,,AVL,2600,C62,,,,,
AuroraWMDRS-554,,,AVL,1400,C62,,,,,
AuroraWMDRS-555,,,AVL,2800,C62,,,,,
AuroraWMDRS-556,,,AVL,2400,C62,,,,,
AuroraWMDRS-557,,,AVL,2700,C62,,,,,
AuroraWMDRS-558,,,AVL,1600,C62,,,,,
AuroraWMDRS-559,,,AVL,1300,C62,,,,,
AuroraWMDRS-560,,,AVL,2900,C62,,,,,
AuroraWMDRS-561,,,AVL,1500,C62,,,,,
AuroraWMDRS-562,,,AVL,1600,C62,,,,,
AuroraWMDRS-563,,,AVL,1800,C62,,,,,
AuroraWMDRS-564,,,AVL,1900,C62,,,,,
AuroraWMDRS-565,,,AVL,2700,C62,,,,,
AuroraWMDRS-566,,,AVL,1700,C62,,,,,
AuroraWMDRS-567,,,AVL,3000,C62,,,,,
AuroraWMDRS-568,,,AVL,1000,C62,,,,,
AuroraWMDRS-569,,,AVL,1700,C62,,,,,
AuroraWMDRS-570,,,AVL,2600,C62,,,,,
AuroraWMDRS-571,,,AVL,3000,C62,,,,,
AuroraWMDRS-572,,,AVL,1000,C62,,,,,
AuroraWMDRS-573,,,AVL,1100,C62,,,,,
AuroraWMDRS-574,,,AVL,2500,C62,,,,,
AuroraWMDRS-575,,,AVL,2800,C62,,,,,
AuroraWMDRS-576,,,AVL,2900,C62,,,,,
AuroraWMDRS-577,,,AVL,2800,C62,,,,,
AuroraWMDRS-578,,,AVL,2300,C62,,,,,
AuroraWMDRS-579,,,AVL,1100,C62,,,,,
AuroraWMDRS-580,,,AVL,2100,C62,,,,,
AuroraWMDRS-581,,,AVL,2600,C62,,,,,
AuroraWMDRS-582,,,AVL,1100,C62,,,,,
AuroraWMDRS-583,,,AVL,1100,C62,,,,,
AuroraWMDRS-584,,,AVL,2300,C62,,,,,
AuroraWMDRS-585,,,AVL,2600,C62,,,,,
AuroraWMDRS-586,,,AVL,1100,C62,,,,,
AuroraWMDRS-587,,,AVL,2800,C62,,,,,
AuroraWMDRS-588,,,AVL,2100,C62,,,,,
AuroraWMDRS-589,,,AVL,2800,C62,,,,,
AuroraWMDRS-590,,,AVL,1900,C62,,,,,
AuroraWMDRS-591,,,AVL,1100,C62,,,,,
AuroraWMDRS-592,,,AVL,2600,C62,,,,,
AuroraWMDRS-593,,,AVL,2000,C62,,,,,
AuroraWMDRS-594,,,AVL,1300,C62,,,,,
AuroraWMDRS-595,,,AVL,2300,C62,,,,,
AuroraWMDRS-596,,,AVL,2700,C62,,,,,
AuroraWMDRS-597,,,AVL,1900,C62,,,,,
AuroraWMDRS-598,,,AVL,2600,C62,,,,,
AuroraWMDRS-599,,,AVL,2800,C62,,,,,
AuroraWMDRS-600,,,AVL,2500,C62,,,,,
AuroraWMDRS-601,,,AVL,1400,C62,,,,,
AuroraWMDRS-602,,,AVL,2900,C62,,,,,
AuroraWMDRS-603,,,AVL,1800,C62,,,,,
AuroraWMDRS-604,,,AVL,1600,C62,,,,,
AuroraWMDRS-605,,,AVL,1200,C62,,,,,
AuroraWMDRS-606,,,AVL,1200,C62,,,,,
AuroraWMDRS-607,,,AVL,1900,C62,,,,,
AuroraWMDRS-608,,,AVL,1100,C62,,,,,
AuroraWMDRS-609,,,AVL,1400,C62,,,,,
AuroraWMDRS-610,,,AVL,2500,C62,,,,,
AuroraWMDRS-611,,,AVL,1300,C62,,,,,
AuroraWMDRS-612,,,AVL,2700,C62,,,,,
AuroraWMDRS-613,,,AVL,1200,C62,,,,,
AuroraWMDRS-614,,,AVL,2600,C62,,,,,
AuroraWMDRS-615,,,AVL,1100,C62,,,,,
AuroraWMDRS-616,,,AVL,2600,C62,,,,,
AuroraWMDRS-617,,,AVL,1800,C62,,,,,
AuroraWMDRS-618,,,AVL,1700,C62,,,,,
AuroraWMDRS-619,,,AVL,1800,C62,,,,,
AuroraWMDRS-620,,,AVL,1600,C62,,,,,
AuroraWMDRS-621,,,AVL,1000,C62,,,,,
AuroraWMDRS-622,,,AVL,1400,C62,,,,,
AuroraWMDRS-623,,,AVL,3000,C62,,,,,
AuroraWMDRS-624,,,AVL,2300,C62,,,,,
AuroraWMDRS-625,,,AVL,2500,C62,,,,,
AuroraWMDRS-626,,,AVL,3000,C62,,,,,
AuroraWMDRS-627,,,AVL,2500,C62,,,,,
AuroraWMDRS-628,,,AVL,2400,C62,,,,,
AuroraWMDRS-629,,,AVL,2600,C62,,,,,
AuroraWMDRS-630,,,AVL,2900,C62,,,,,
AuroraWMDRS-631,,,AVL,2000,C62,,,,,
AuroraWMDRS-632,,,AVL,2800,C62,,,,,
AuroraWMDRS-633,,,AVL,2000,C62,,,,,
AuroraWMDRS-634,,,AVL,1100,C62,,,,,
AuroraWMDRS-635,,,AVL,3000,C62,,,,,
AuroraWMDRS-636,,,AVL,1500,C62,,,,,
AuroraWMDRS-637,,,AVL,2000,C62,,,,,
AuroraWMDRS-638,,,AVL,1000,C62,,,,,
AuroraWMDRS-639,,,AVL,2700,C62,,,,,
AuroraWMDRS-640,,,AVL,1700,C62,,,,,
AuroraWMDRS-641,,,AVL,2200,C62,,,,,
AuroraWMDRS-642,,,AVL,2200,C62,,,,,
AuroraWMDRS-643,,,AVL,1700,C62,,,,,
AuroraWMDRS-644,,,AVL,3000,C62,,,,,
AuroraWMDRS-645,,,AVL,2700,C62,,,,,
AuroraWMDRS-646,,,AVL,2400,C62,,,,,
AuroraWMDRS-647,,,AVL,1800,C62,,,,,
AuroraWMDRS-648,,,AVL,2000,C62,,,,,
AuroraWMDRS-649,,,AVL,2800,C62,,,,,
AuroraWMDRS-650,,,AVL,2800,C62,,,,,
AuroraWMDRS-651,,,AVL,3000,C62,,,,,
AuroraWMDRS-652,,,AVL,1800,C62,,,,,
AuroraWMDRS-653,,,AVL,2200,C62,,,,,
AuroraWMDRS-654,,,AVL,2800,C62,,,,,
AuroraWMDRS-655,,,AVL,2800,C62,,,,,
AuroraWMDRS-656,,,AVL,3000,C62,,,,,
AuroraWMDRS-657,,,AVL,1600,C62,,,,,
AuroraWMDRS-658,,,AVL,1900,C62,,,,,
AuroraWMDRS-659,,,AVL,1300,C62,,,,,
AuroraWMDRS-660,,,AVL,3000,C62,,,,,
AuroraWMDRS-661,,,AVL,2600,C62,,,,,
AuroraWMDRS-662,,,AVL,1900,C62,,,,,
AuroraWMDRS-663,,,AVL,2200,C62,,,,,
AuroraWMDRS-664,,,AVL,2500,C62,,,,,
AuroraWMDRS-665,,,AVL,2700,C62,,,,,
AuroraWMDRS-666,,,AVL,2000,C62,,,,,
AuroraWMDRS-667,,,AVL,1600,C62,,,,,
AuroraWMDRS-668,,,AVL,2500,C62,,,,,
AuroraWMDRS-669,,,AVL,2300,C62,,,,,
AuroraWMDRS-670,,,AVL,1400,C62,,,,,
AuroraWMDRS-671,,,AVL,2800,C62,,,,,
AuroraWMDRS-672,,,AVL,2200,C62,,,,,
AuroraWMDRS-673,,,AVL,3000,C62,,,,,
AuroraWMDRS-674,,,AVL,2800,C62,,,,,
AuroraWMDRS-675,,,AVL,1800,C62,,,,,
AuroraWMDRS-676,,,AVL,2400,C62,,,,,
AuroraWMDRS-677,,,AVL,1200,C62,,,,,
AuroraWMDRS-678,,,AVL,3000,C62,,,,,
AuroraWMDRS-679,,,AVL,2000,C62,,,,,
AuroraWMDRS-680,,,AVL,1800,C62,,,,,
AuroraWMDRS-681,,,AVL,2300,C62,,,,,
AuroraWMDRS-682,,,AVL,1000,C62,,,,,
AuroraWMDRS-683,,,AVL,2400,C62,,,,,
AuroraWMDRS-684,,,AVL,2100,C62,,,,,
AuroraWMDRS-685,,,AVL,2000,C62,,,,,
AuroraWMDRS-686,,,AVL,1500,C62,,,,,
AuroraWMDRS-687,,,AVL,1700,C62,,,,,
AuroraWMDRS-688,,,AVL,1300,C62,,,,,
AuroraWMDRS-689,,,AVL,3000,C62,,,,,
AuroraWMDRS-690,,,AVL,2800,C62,,,,,
AuroraWMDRS-691,,,AVL,1000,C62,,,,,
AuroraWMDRS-692,,,AVL,1700,C62,,,,,
AuroraWMDRS-693,,,AVL,2400,C62,,,,,
AuroraWMDRS-694,,,AVL,2300,C62,,,,,
AuroraWMDRS-695,,,AVL,2700,C62,,,,,
AuroraWMDRS-696,,,AVL,2400,C62,,,,,
AuroraWMDRS-697,,,AVL,1500,C62,,,,,
AuroraWMDRS-698,,,AVL,2400,C62,,,,,
AuroraWMDRS-699,,,AVL,2100,C62,,,,,
AuroraWMDRS-700,,,AVL,2700,C62,,,,,
AuroraWMDRS-701,,,AVL,2400,C62,,,,,
AuroraWMDRS-702,,,AVL,1300,C62,,,,,
AuroraWMDRS-703,,,AVL,2900,C62,,,,,
AuroraWMDRS-704,,,AVL,2000,C62,,,,,
AuroraWMDRS-705,,,AVL,2200,C62,,,,,
AuroraWMDRS-706,,,AVL,1500,C62,,,,,
AuroraWMDRS-707,,,AVL,2800,C62,,,,,
AuroraWMDRS-708,,,AVL,2200,C62,,,,,
AuroraWMDRS-709,,,AVL,1000,C62,,,,,
AuroraWMDRS-710,,,AVL,2000,C62,,,,,
AuroraWMDRS-711,,,AVL,2200,C62,,,,,
AuroraWMDRS-712,,,AVL,2500,C62,,,,,
AuroraWMDRS-713,,,AVL,2000,C62,,,,,
AuroraWMDRS-714,,,AVL,1700,C62,,,,,
AuroraWMDRS-715,,,AVL,2700,C62,,,,,
AuroraWMDRS-716,,,AVL,1200,C62,,,,,
AuroraWMDRS-717,,,AVL,2200,C62,,,,,
AuroraWMDRS-718,,,AVL,2500,C62,,,,,
AuroraWMDRS-719,,,AVL,2200,C62,,,,,
AuroraWMDRS-720,,,AVL,1500,C62,,,,,
AuroraWMDRS-721,,,AVL,2900,C62,,,,,
AuroraWMDRS-722,,,AVL,1600,C62,,,,,
AuroraWMDRS-723,,,AVL,1100,C62,,,,,
AuroraWMDRS-724,,,AVL,2900,C62,,,,,
AuroraWMDRS-725,,,AVL,2600,C62,,,,,
AuroraWMDRS-726,,,AVL,1500,C62,,,,,
AuroraWMDRS-727,,,AVL,3000,C62,,,,,
WAC007_070101,,,AVL,2800,C62,,,,,
WAC007_070102,,,AVL,1900,C62,,,,,
WAC007_070103,,,AVL,1700,C62,,,,,
WAC007_070104,,,AVL,1400,C62,,,,,
WAC007_070105,,,AVL,1800,C62,,,,,
WAC007_070401,,,AVL,2100,C62,,,,,
WAC007_070402,,,AVL,2600,C62,,,,,
WAC007_070403,,,AVL,1800,C62,,,,,
WAC007_070404,,,AVL,1000,C62,,,,,
WAC007_070405,,,AVL,2300,C62,,,,,
WAC007_070501,,,AVL,1200,C62,,,,,
WAC007_070502,,,AVL,1200,C62,,,,,
WAC007_070503,,,AVL,1700,C62,,,,,
WAC007_070504,,,AVL,1100,C62,,,,,
WAC007_070505,,,AVL,2300,C62,,,,,
WAC007_070601,,,AVL,1100,C62,,,,,
WAC007_070602,,,AVL,2300,C62,,,,,
WAC007_070603,,,AVL,3000,C62,,,,,
WAC007_070604,,,AVL,2800,C62,,,,,
WAC007_070605,,,AVL,2300,C62,,,,,
WAC007_070701,,,AVL,2900,C62,,,,,
WAC007_070702,,,AVL,1400,C62,,,,,
WAC007_070703,,,AVL,1600,C62,,,,,
WAC007_070704,,,AVL,2800,C62,,,,,
WAC007_070705,,,AVL,1900,C62,,,,,
WAC007_071101,,,AVL,2200,C62,,,,,
WAC007_071301,,,AVL,1800,C62,,,,,
WAC007_071401,,,AVL,1700,C62,,,,,
WAC007_071501,,,AVL,3000,C62,,,,,
WAC007_071601,,,AVL,2500,C62,,,,,
WAC007_072501,,,AVL,2400,C62,,,,,
WAC007_072701,,,AVL,1200,C62,,,,,
WAC007_072702,,,AVL,2300,C62,,,,,
WAC007_072703,,,AVL,2300,C62,,,,,
WAC007_072704,,,AVL,1400,C62,,,,,
WAC007_072705,,,AVL,2500,C62,,,,,
WAC007_072706,,,AVL,1600,C62,,,,,
WAC007_072707,,,AVL,2500,C62,,,,,
WAC007_072801,,,AVL,2400,C62,,,,,
WAC007_072802,,,AVL,1800,C62,,,,,
WAC007_072803,,,AVL,1200,C62,,,,,
WAC007_072804,,,AVL,2400,C62,,,,,
WAC007_072805,,,AVL,1100,C62,,,,,
WAC007_072806,,,AVL,2500,C62,,,,,
WAC007_072807,,,AVL,2300,C62,,,,,
WAC007_073001,,,AVL,2900,C62,,,,,
WAC007_073002,,,AVL,1300,C62,,,,,
WAC007_073003,,,AVL,2100,C62,,,,,
WAC007_073004,,,AVL,1800,C62,,,,,
WAC007_073005,,,AVL,2400,C62,,,,,
WAC007_073006,,,AVL,1400,C62,,,,,
WAC007_073007,,,AVL,1700,C62,,,,,
WAC007_073201,,,AVL,1900,C62,,,,,
WAC007_073202,,,AVL,2300,C62,,,,,
WAC007_073203,,,AVL,2300,C62,,,,,
WAC007_073204,,,AVL,2000,C62,,,,,
WAC007_073205,,,AVL,3000,C62,,,,,
WAC007_073206,,,AVL,1300,C62,,,,,
WAC007_073207,,,AVL,1700,C62,,,,,
WAC007_073601,,,AVL,2800,C62,,,,,
WAC007_073602,,,AVL,1100,C62,,,,,
WAC007_073603,,,AVL,1600,C62,,,,,
WAC007_073604,,,AVL,2900,C62,,,,,
WAC007_073605,,,AVL,1900,C62,,,,,
WAC007_073606,,,AVL,2700,C62,,,,,
WAC007_073607,,,AVL,1000,C62,,,,,
WAC007_073801,,,AVL,2100,C62,,,,,
WAC007_073802,,,AVL,2500,C62,,,,,
WAC007_073803,,,AVL,2000,C62,,,,,
WAC007_073804,,,AVL,1800,C62,,,,,
WAC007_073805,,,AVL,1000,C62,,,,,
WAC007_073806,,,AVL,1000,C62,,,,,
WAC007_073807,,,AVL,1100,C62,,,,,
WBG006_060101,,,AVL,2300,C62,,,,,
WBG006_060201,,,AVL,1300,C62,,,,,
WBG006_060301,,,AVL,2500,C62,,,,,
WBG006_060501,,,AVL,2700,C62,,,,,
WBG006_060601,,,AVL,1400,C62,,,,,
WBG006_060801,,,AVL,1300,C62,,,,,
WBG006_060901,,,AVL,2700,C62,,,,,
WBG006_061001,,,AVL,2600,C62,,,,,
WBG006_061101,,,AVL,2600,C62,,,,,
WBG006_061201,,,AVL,1800,C62,,,,,
WBG006_061501,,,AVL,2200,C62,,,,,
WBG006_061601,,,AVL,3000,C62,,,,,
WBG006_061701,,,AVL,1600,C62,,,,,
WBG006_061801,,,AVL,1400,C62,,,,,
WBG006_061901,,,AVL,2900,C62,,,,,
WBG006_062001,,,AVL,2200,C62,,,,,
WBG006_062201,,,AVL,1500,C62,,,,,
WSH005_050101,,,AVL,1000,C62,,,,,
WSH005_050102,,,AVL,1900,C62,,,,,
WSH005_050103,,,AVL,2600,C62,,,,,
WSH005_050104,,,AVL,1900,C62,,,,,
WSH005_050201,,,AVL,1100,C62,,,,,
WSH005_050202,,,AVL,1500,C62,,,,,
WSH005_050203,,,AVL,2400,C62,,,,,
WSH005_050204,,,AVL,2100,C62,,,,,
WSH005_050301,,,AVL,2700,C62,,,,,
WSH005_050302,,,AVL,2700,C62,,,,,
WSH005_050303,,,AVL,1900,C62,,,,,
WSH005_050304,,,AVL,2800,C62,,,,,
WSH005_050305,,,AVL,2400,C62,,,,,
WSH005_050901,,,AVL,1500,C62,,,,,
WSH005_050902,,,AVL,1800,C62,,,,,
WSH005_050903,,,AVL,2000,C62,,,,,
WSH005_050904,,,AVL,1400,C62,,,,,
WSH005_051001,,,AVL,1700,C62,,,,,
WSH005_051002,,,AVL,2800,C62,,,,,
WSH005_051003,,,AVL,2900,C62,,,,,
WSH005_051004,,,AVL,1300,C62,,,,,
WSH005_051005,,,AVL,2100,C62,,,,,
WSH005_051201,,,AVL,1800,C62,,,,,
WSH005_051202,,,AVL,2500,C62,,,,,
WSH005_051203,,,AVL,1500,C62,,,,,
WSH005_051204,,,AVL,2600,C62,,,,,
WSH005_051401,,,AVL,2200,C62,,,,,
WSH005_051402,,,AVL,1800,C62,,,,,
WSH005_051403,,,AVL,2600,C62,,,,,
WSH005_051501,,,AVL,2000,C62,,,,,
WSH005_051502,,,AVL,1700,C62,,,,,
WSH005_051503,,,AVL,1700,C62,,,,,
WSH005_051801,,,AVL,1100,C62,,,,,
WSH005_051802,,,AVL,1400,C62,,,,,
WSH005_051803,,,AVL,2000,C62,,,,,
WSH005_051804,,,AVL,1800,C62,,,,,
WSH005_051901,,,AVL,2900,C62,,,,,
WSH005_051902,,,AVL,1500,C62,,,,,
WSH005_051903,,,AVL,1300,C62,,,,,
WSH005_051904,,,AVL,2500,C62,,,,,
WSH005_052401,,,AVL,2000,C62,,,,,
WSH005_052402,,,AVL,2200,C62,,,,,
WSH005_052403,,,AVL,1200,C62,,,,,
WSH005_052404,,,AVL,1200,C62,,,,,
WSH005_052501,,,AVL,1900,C62,,,,,
WSH005_052502,,,AVL,3000,C62,,,,,
WSH005_052503,,,AVL,3000,C62,,,,,
WSH005_052504,,,AVL,2300,C62,,,,,
WSH005_052505,,,AVL,1100,C62,,,,,
WSH005_052506,,,AVL,2700,C62,,,,,
WSH005_052507,,,AVL,2900,C62,,,,,
WSH005_052601,,,AVL,2100,C62,,,,,
WSH005_052602,,,AVL,3000,C62,,,,,
WSH005_052603,,,AVL,2900,C62,,,,,
WSH005_052604,,,AVL,1300,C62,,,,,
WSH005_052605,,,AVL,2900,C62,,,,,
WSH005_052606,,,AVL,1600,C62,,,,,
WSH005_052701,,,AVL,1900,C62,,,,,
WSH005_052702,,,AVL,2900,C62,,,,,
WSH005_052703,,,AVL,1000,C62,,,,,
WSH005_052704,,,AVL,2400,C62,,,,,
WSH005_052705,,,AVL,3000,C62,,,,,
WSH005_052706,,,AVL,1300,C62,,,,,
WSH005_052707,,,AVL,1600,C62,,,,,
WSH005_052801,,,AVL,1900,C62,,,,,
WSH005_052802,,,AVL,1800,C62,,,,,
WSH005_052803,,,AVL,2500,C62,,,,,
WSH005_052804,,,AVL,1500,C62,,,,,
WSH005_052805,,,AVL,1800,C62,,,,,
WSH005_053301,,,AVL,2400,C62,,,,,
WSH005_053302,,,AVL,1800,C62,,,,,
WSH005_053303,,,AVL,1400,C62,,,,,
WSH005_053304,,,AVL,2000,C62,,,,,
WSH005_053305,,,AVL,2200,C62,,,,,
WSH005_053306,,,AVL,1200,C62,,,,,
WSH005_053307,,,AVL,2100,C62,,,,,
WCL004_040101,,,AVL,2400,C62,,,,,
WCL004_040102,,,AVL,1600,C62,,,,,
WCL004_040103,,,AVL,2100,C62,,,,,
WCL004_040104,,,AVL,1900,C62,,,,,
WCL004_040105,,,AVL,1500,C62,,,,,
WCL004_040201,,,AVL,2300,C62,,,,,
WCL004_040202,,,AVL,2800,C62,,,,,
WCL004_040203,,,AVL,2800,C62,,,,,
WCL004_040204,,,AVL,1100,C62,,,,,
WCL004_040205,,,AVL,1000,C62,,,,,
WCL004_040501,,,AVL,2900,C62,,,,,
WCL004_040502,,,AVL,2500,C62,,,,,
WCL004_040503,,,AVL,2600,C62,,,,,
WCL004_040504,,,AVL,3000,C62,,,,,
WCL004_040505,,,AVL,2600,C62,,,,,
WCL004_040601,,,AVL,2800,C62,,,,,
WCL004_040602,,,AVL,2600,C62,,,,,
WCL004_040603,,,AVL,1700,C62,,,,,
WCL004_040604,,,AVL,1900,C62,,,,,
WCL004_040605,,,AVL,2900,C62,,,,,
WCL004_040701,,,AVL,2500,C62,,,,,
WCL004_040702,,,AVL,1100,C62,,,,,
WCL004_040703,,,AVL,1800,C62,,,,,
WCL004_040704,,,AVL,3000,C62,,,,,
WCL004_040705,,,AVL,2000,C62,,,,,
WCL004_040801,,,AVL,2400,C62,,,,,
WCL004_040802,,,AVL,2200,C62,,,,,
WCL004_040803,,,AVL,1100,C62,,,,,
WCL004_040804,,,AVL,2400,C62,,,,,
WCL004_040805,,,AVL,2800,C62,,,,,
WCL004_041001,,,AVL,2200,C62,,,,,
WCL004_041002,,,AVL,1400,C62,,,,,
WCL004_041003,,,AVL,1900,C62,,,,,
WCL004_041004,,,AVL,1700,C62,,,,,
WCL004_041005,,,AVL,2000,C62,,,,,
WCL004_041201,,,AVL,1900,C62,,,,,
WCL004_041202,,,AVL,1000,C62,,,,,
WCL004_041203,,,AVL,2000,C62,,,,,
WCL004_041204,,,AVL,1500,C62,,,,,
WCL004_041205,,,AVL,2900,C62,,,,,
WCL004_041301,,,AVL,1200,C62,,,,,
WCL004_041302,,,AVL,1200,C62,,,,,
WCL004_041303,,,AVL,2600,C62,,,,,
WCL004_041304,,,AVL,1400,C62,,,,,
WCL004_041305,,,AVL,2500,C62,,,,,
WCL004_041401,,,AVL,2000,C62,,,,,
WCL004_041402,,,AVL,2100,C62,,,,,
WCL004_041403,,,AVL,2000,C62,,,,,
WCL004_041404,,,AVL,2100,C62,,,,,
WCL004_041405,,,AVL,2900,C62,,,,,
WCL004_041501,,,AVL,1500,C62,,,,,
WCL004_041502,,,AVL,2500,C62,,,,,
WCL004_041503,,,AVL,1000,C62,,,,,
WCL004_041504,,,AVL,1600,C62,,,,,
WCL004_041505,,,AVL,1200,C62,,,,,
WCL004_041601,,,AVL,2900,C62,,,,,
WCL004_041602,,,AVL,1500,C62,,,,,
WCL004_041603,,,AVL,2100,C62,,,,,
WCL004_041604,,,AVL,2500,C62,,,,,
WCL004_041605,,,AVL,2300,C62,,,,,
WCL004_041701,,,AVL,1600,C62,,,,,
WCL004_041702,,,AVL,2800,C62,,,,,
WCL004_041703,,,AVL,3000,C62,,,,,
WCL004_041704,,,AVL,2600,C62,,,,,
WCL004_041705,,,AVL,2300,C62,,,,,
WCL004_041801,,,AVL,1400,C62,,,,,
WCL004_041802,,,AVL,2300,C62,,,,,
WCL004_041803,,,AVL,2600,C62,,,,,
WCL004_041804,,,AVL,2200,C62,,,,,
WCL004_041805,,,AVL,3000,C62,,,,,
WCL004_041901,,,AVL,3000,C62,,,,,
WCL004_041902,,,AVL,1100,C62,,,,,
WCL004_041903,,,AVL,2100,C62,,,,,
WCL004_041904,,,AVL,1400,C62,,,,,
WCL004_041905,,,AVL,1100,C62,,,,,
WCL004_042001,,,AVL,2700,C62,,,,,
WCL004_042002,,,AVL,1600,C62,,,,,
WCL004_042003,,,AVL,2700,C62,,,,,
WCL004_042004,,,AVL,2800,C62,,,,,
WCL004_042005,,,AVL,2800,C62,,,,,
WCL003_030201,,,AVL,2000,C62,,,,,
WCL003_030202,,,AVL,1100,C62,,,,,
WCL003_030203,,,AVL,2300,C62,,,,,
WCL003_030204,,,AVL,1500,C62,,,,,
WCL003_030205,,,AVL,2800,C62,,,,,
WCL003_030206,,,AVL,1800,C62,,,,,
WCL003_030207,,,AVL,1700,C62,,,,,
WCL003_030301,,,AVL,2000,C62,,,,,
WCL003_030302,,,AVL,1600,C62,,,,,
WCL003_030303,,,AVL,1400,C62,,,,,
WCL003_030304,,,AVL,1200,C62,,,,,
WCL003_030305,,,AVL,2100,C62,,,,,
WCL003_030306,,,AVL,1700,C62,,,,,
WCL003_030307,,,AVL,2500,C62,,,,,
WCL003_030501,,,AVL,1300,C62,,,,,
WCL003_030502,,,AVL,1700,C62,,,,,
WCL003_030503,,,AVL,2800,C62,,,,,
WCL003_030504,,,AVL,2100,C62,,,,,
WCL003_030505,,,AVL,1300,C62,,,,,
WCL003_030601,,,AVL,2600,C62,,,,,
WCL003_030602,,,AVL,2900,C62,,,,,
WCL003_030603,,,AVL,1500,C62,,,,,
WCL003_030604,,,AVL,2700,C62,,,,,
WCL003_030605,,,AVL,2300,C62,,,,,
WCL003_030606,,,AVL,2800,C62,,,,,
WCL003_030701,,,AVL,2300,C62,,,,,
WCL003_030702,,,AVL,2200,C62,,,,,
WCL003_030703,,,AVL,1100,C62,,,,,
WCL003_030704,,,AVL,1400,C62,,,,,
WCL003_030705,,,AVL,1700,C62,,,,,
WCL003_030901,,,AVL,1000,C62,,,,,
WCL003_030902,,,AVL,2100,C62,,,,,
WCL003_030903,,,AVL,2100,C62,,,,,
WCL003_030904,,,AVL,1200,C62,,,,,
WCL003_030905,,,AVL,1400,C62,,,,,
WCL003_030906,,,AVL,1100,C62,,,,,
WCL003_031101,,,AVL,2800,C62,,,,,
WCL003_031102,,,AVL,1400,C62,,,,,
WCL003_031103,,,AVL,2900,C62,,,,,
WCL003_031104,,,AVL,1800,C62,,,,,
WCL003_031301,,,AVL,2700,C62,,,,,
WCL003_031302,,,AVL,1400,C62,,,,,
WCL003_031303,,,AVL,2000,C62,,,,,
WCL003_031304,,,AVL,2300,C62,,,,,
